hh,load
1946,48037
1947,47915
1948,47758
1949,47671
1950,47434
1951,47474
1952,48170
1953,49049
1954,50126
1955,51277
1956,52450
1957,52161
1958,51642
1959,51076
1960,49706
1961,48308
1962,46339
1963,44383
1964,41863
1965,39492
1966,37000
1967,34444
1968,33076
1969,33286
1970,33526
1971,33596
1972,33449
1973,33252
1974,33091
1975,32736
1976,32208
1977,31980
1978,32000
1979,32223
1980,33421
1981,35708
1982,39023
1983,43529
1984,45611
1985,46587
1986,46812
1987,47793
1988,48207
1989,48398
1990,48600
1991,48788
1992,48834
1993,48913
1994,48753
1995,48686
1996,48447
1997,48496
1998,48282
1999,48190
2000,48834
2001,49788
2002,51269
2003,52541
2004,52905
2005,52770
2006,52069
2007,51081
2008,49798
2009,48365
2010,46537
2011,44522
2012,42144
2013,39786
2014,37578
2015,35159
2016,33952
2017,34389
2018,34631
2019,34564
2020,34156
2021,33638
2022,33564
2023,33331
2024,32746
2025,32330
2026,32348
2027,32831
2028,33831
2029,35892
2030,39164
2031,43404
2032,45013
2033,46326
2034,46915
2035,47729
2036,47965
2037,47968
2038,48028
2039,47908
2040,47897
2041,48088
2042,47749
2043,47624
2044,47541
2045,47600
2046,47449
2047,47385
2048,47864
2049,48762
2050,49989
2051,51093
2052,52272
2053,52250
2054,51948
2055,50736
2056,49371
2057,47834
2058,45947
2059,44019
2060,41458
2061,38891
2062,36568
2063,34281
2064,33596
2065,33842
2066,34058
2067,33691
2068,32900
2069,32436
2070,32385
2071,31599
2072,30956
2073,30630
2074,30502
2075,30918
2076,31727
2077,33534
2078,36911
2079,40934
2080,42716
2081,43937
2082,44528
2083,45561
2084,45814
2085,45729
2086,45829
2087,45968
2088,46143
2089,46179
2090,45768
2091,45484
2092,45318
2093,45329
2094,45083
2095,44981
2096,45477
2097,46094
2098,47064
2099,48559
2100,49856
2101,49819
2102,49151
2103,47793
2104,46448
2105,44988
2106,43167
2107,41361
2108,39516
2109,37810
2110,36024
2111,34007
2112,32879
2113,32831
2114,33177
2115,32955
2116,32228
2117,32087
2118,31807
2119,31305
2120,30634
2121,30151
2122,29945
2123,29733
2124,30083
2125,30555
2126,31108
2127,32682
2128,33759
2129,35891
2130,37866
2131,39418
2132,40179
2133,40555
2134,40782
2135,40815
2136,40721
2137,40754
2138,40507
2139,40062
2140,39765
2141,39652
2142,39385
2143,39390
2144,39593
2145,40051
2146,41449
2147,43674
2148,46031
2149,45998
2150,45623
2151,44526
2152,42870
2153,41511
2154,40074
2155,38377
2156,36896
2157,35355
2158,34345
2159,32730
2160,31851
2161,31540
2162,31820
2163,31758
2164,31452
2165,31066
2166,30949
2167,30381
2168,29475
2169,29044
2170,28857
2171,28742
2172,28854
2173,29527
2174,30014
2175,29868
2176,29471
2177,31006
2178,32601
2179,34289
2180,35651
2181,36771
2182,37409
2183,37534
2184,38327
2185,38635
2186,38568
2187,38113
2188,37683
2189,37630
2190,37613
2191,37824
2192,38388
2193,39177
2194,40378
2195,42665
2196,44755
2197,44961
2198,44195
2199,43471
2200,42262
2201,41172
2202,39478
2203,38287
2204,36455
2205,34935
2206,33416
2207,31456
2208,30472
2209,30351
2210,30789
2211,31140
2212,30806
2213,30720
2214,30387
2215,30116
2216,29631
2217,29471
2218,29531
2219,29875
2220,30253
2221,32666
2222,35484
2223,38464
2224,40444
2225,42625
2226,44102
2227,45080
2228,45461
2229,45589
2230,45692
2231,46163
2232,46233
2233,46296
2234,46098
2235,45897
2236,45536
2237,45509
2238,45398
2239,45420
2240,45641
2241,45986
2242,46949
2243,48343
2244,50353
2245,50934
2246,50263
2247,49416
2248,48062
2249,46557
2250,44786
2251,42822
2252,40674
2253,38444
2254,36103
2255,33711
2256,32847
2257,33398
2258,33823
2259,33579
2260,32999
2261,32499
2262,32439
2263,32042
2264,31472
2265,31066
2266,30961
2267,31470
2268,32645
2269,34574
2270,36895
2271,39595
2272,41115
2273,42712
2274,43684
2275,44199
2276,44007
2277,43550
2278,42986
2279,42679
2280,42145
2281,42050
2282,41690
2283,41484
2284,41319
2285,41402
2286,41501
2287,41991
2288,42543
2289,43416
2290,44791
2291,46509
2292,49078
2293,50222
2294,49922
2295,49012
2296,47329
2297,46036
2298,44492
2299,42450
2300,40052
2301,37649
2302,35364
2303,32924
2304,31854
2305,32677
2306,33089
2307,32994
2308,32253
2309,31682
2310,31705
2311,31255
2312,30588
2313,30109
2314,30122
2315,30707
2316,31261
2317,33319
2318,36010
2319,38696
2320,40212
2321,41926
2322,42781
2323,43368
2324,43311
2325,42971
2326,42466
2327,42153
2328,41909
2329,41994
2330,41594
2331,41420
2332,41087
2333,41129
2334,41111
2335,41388
2336,41965
2337,42754
2338,44214
2339,45780
2340,48159
2341,49029
2342,48505
2343,47335
2344,45918
2345,44161
2346,42371
2347,40529
2348,38262
2349,36134
2350,34297
2351,32443
2352,31165
2353,30953
2354,31548
2355,31644
2356,31060
2357,30391
2358,30266
2359,29718
2360,29124
2361,28937
2362,29002
2363,29307
2364,30129
2365,32225
2366,34855
2367,37849
2368,39500
2369,41272
2370,42358
2371,43421
2372,43853
2373,44159
2374,44645
2375,44876
2376,45056
2377,45438
2378,45250
2379,45098
2380,44963
2381,45045
2382,44901
2383,44928
2384,45187
2385,45679
2386,46928
2387,48373
2388,50195
2389,50733
2390,49895
2391,48774
2392,46860
2393,45225
2394,44376
2395,42493
2396,40049
2397,38269
2398,36426
2399,34232
2400,33156
2401,32882
2402,33066
2403,33532
2404,33183
2405,32626
2406,32566
2407,31885
2408,31291
2409,30958
2410,30873
2411,31095
2412,31791
2413,33871
2414,36628
2415,39143
2416,40552
2417,42559
2418,43703
2419,44532
2420,44571
2421,44400
2422,44284
2423,44459
2424,44650
2425,44679
2426,44504
2427,43929
2428,43592
2429,43735
2430,43216
2431,43088
2432,43288
2433,43734
2434,44789
2435,46367
2436,48404
2437,49492
2438,48989
2439,47763
2440,46382
2441,44610
2442,42692
2443,41207
2444,39370
2445,37426
2446,35889
2447,33883
2448,32775
2449,32568
2450,32851
2451,32602
2452,32216
2453,31411
2454,31536
2455,30919
2456,30116
2457,29563
2458,29392
2459,29577
2460,29931
2461,30794
2462,31455
2463,31870
2464,32921
2465,34841
2466,36456
2467,37744
2468,38015
2469,38165
2470,37995
2471,38012
2472,37915
2473,37900
2474,37645
2475,37244
2476,36781
2477,36458
2478,36362
2479,36649
2480,37076
2481,38046
2482,39403
2483,41434
2484,43864
2485,45308
2486,45134
2487,43876
2488,42352
2489,41303
2490,40065
2491,38832
2492,37357
2493,36009
2494,34957
2495,33416
